commit	score	status	description
8b50ee4	84.85	keep	baseline PID copy
322bd67	80.13	keep	roll compensation + feedforward
d71969a	72.42	keep	proper feedforward with target-roll and preview
8b698f1	63.89	keep	tuned PID: p=0.25 i=0.1 d=-0.1
0a3c5d3	54.59	keep	enhanced PID: weighted lookahead + target rate ff
2d92f99	53.36	keep	tuned: p=0.2, la_w=[0.6,...], roll_ff=0.05
76fa9b1	52.76	keep	derivative filter: d=-0.15, d_filter=0.5
6855a94\t51.59\tkeep\tgrid search gains: d=-0.1, ff=0.35, rate_ff=0.2
a44e6ef\t50.61\tkeep\tforward-looking target 40/30/15/10/5
8e0f86f\t50.11\tkeep\tPID + ONNX offset search: per-segment adaptation
34929a2\t49.87\tkeep\tfix sim PID matching: offset search now more accurate
8c64ae9\t50.83\tdiscard\tearlier search: context not clean
